url	kind	scripts
https://assets.gatehousebank.com/production/downloads/gatehousebankpillariiidisclosure2017.pdf	live	build_gatehouse.py
https://assets.santandermedia.com/adobe/assets/urn:aaid:aem:3af8ccd7-5ee0-4196-9577-83a30558e64c/original/as/02536CCAA25SantanderFinancialServicesPlc.pdf	live	build_santander_financial_services.py
https://assets.santandermedia.com/adobe/assets/urn:aaid:aem:58592004-0ef9-4156-9df8-367908fc81a9/original/as/sfs_2021_annual_report.pdf	live	build_santander_financial_services.py
https://assets.santandermedia.com/adobe/assets/urn:aaid:aem:8da5f087-d631-4188-9c9c-9671410070c5/original/as/sfs_annual_report_2023.pdf	live	build_santander_financial_services.py
https://assets.santandermedia.com/adobe/assets/urn:aaid:aem:f15fea69-5780-484a-bb22-ce42b29eeac3/original/as/santander_financial_services_plc_2022_annual_report.pdf	live	build_santander_financial_services.py
https://assets.unity.co.uk/2022/08/PILLAR3-2021-FINAL.pdf	live	build_unity_trust.py
https://assets.unity.co.uk/2022/08/Unity-Trust-Bank_Report-and-Accounts-2021.pdf	live	build_unity_trust.py
https://assets.unity.co.uk/2023/03/Unity-Trust-Bank_2022-Pillar-3-Disclosures.pdf	live	build_unity_trust.py
https://assets.unity.co.uk/U798_0324_Unity_Trust_Bank_Annual-Report-and-Accounts_2023.pdf	live	build_unity_trust.py
https://assets.unity.co.uk/Unity-Trust-Bank-Annual-Report-and-Accounts-2024.pdf	live	build_unity_trust.py
https://assets.unity.co.uk/Unity-Trust-Bank-Annual-Report-and-Accounts-2025.pdf	live	build_unity_trust.py
https://assets.unity.co.uk/Unity-Trust-Bank-PILLAR3-2019.pdf	live	build_unity_trust.py
https://assets.unity.co.uk/Unity-Trust-Bank-PILLAR3-2023-1.pdf	live	build_unity_trust.py
https://assets.unity.co.uk/Unity-Trust-Bank-PILLAR3-2024.pdf	live	build_unity_trust.py
https://assets.unity.co.uk/Unity-Trust-Bank-PILLAR3-2025-1.pdf	live	build_unity_trust.py
https://assets.website-files.com/62a364a1705cce548303c9aa/6337028c7519c4c08e1b5d54_TML_Pillar%203%202021.12.31_Board.pdf	live	build_tandem.py
https://bankofceylon.co.uk/downloads/corporate/BOCUK_Financial_statements_2023.pdf	live	build_bank_of_ceylon_uk.py
https://brownshipley.com/media/o4tl2pod/pillar-3-disclosure-2024-final-draft_cleanv2.pdf	live	build_brown_shipley.py
https://ccbank.co.uk/wp-content/uploads/2021/05/CCB-Pillar-3-2017.pdf	live	build_cambridge_and_counties.py
https://ccbank.co.uk/wp-content/uploads/2021/05/CCB-Pillar-3-2018.pdf	live	build_cambridge_and_counties.py
https://ccbank.co.uk/wp-content/uploads/2021/05/CCB-Pillar-3-2019.pdf	live	build_cambridge_and_counties.py
https://ccbank.co.uk/wp-content/uploads/2021/05/CCB-Pillar-3-Disclosures-2015.pdf	live	build_cambridge_and_counties.py
https://ccbank.co.uk/wp-content/uploads/2021/05/CCB-Pillar-3-Disclosures-2016.pdf	live	build_cambridge_and_counties.py
https://ccbank.co.uk/wp-content/uploads/2021/07/CCB-Pillar-3-2020.pdf	live	build_cambridge_and_counties.py
https://ccbank.co.uk/wp-content/uploads/2022/06/CCB_Pillar-3-2021.pdf	live	build_cambridge_and_counties.py
https://ccbank.co.uk/wp-content/uploads/2023/05/Pillar-3-Disclosure2022.pdf	live	build_cambridge_and_counties.py
https://ccbank.co.uk/wp-content/uploads/2023/06/CCB_Annual-Report_2022.pdf	live	build_cambridge_and_counties.py
https://ccbank.co.uk/wp-content/uploads/2025/05/86395_CCB-2024-Annual-Report-web.pdf	live	build_cambridge_and_counties.py
https://ccbank.co.uk/wp-content/uploads/2026/04/Cambridge__Counties-Bank_Annual-Report_2025.pdf	live	build_cambridge_and_counties.py
https://cdn.craft.cloud/019db931-b985-7148-ac09-8f1d1e20d1a6/assets/content/hampden/content/Hampden-Bank-Annual-Report-and-Financial-Statements-2024.pdf	live	build_hampden_co.py
https://cdn.craft.cloud/019db931-b985-7148-ac09-8f1d1e20d1a6/assets/content/hampden/content/Hampden-Co-2022-Annual-Report-and-Financial-Statements.pdf	live	build_hampden_co.py
https://cdn.craft.cloud/019db931-b985-7148-ac09-8f1d1e20d1a6/assets/content/hampden/content/Hampden-Co-Annual-Report-2021.pdf	live	build_hampden_co.py
