cluster_id,cluster_label,cluster_size,CET1 Ratio,Tier 1 Ratio,Total Capital Ratio,Leverage Ratio,LCR,NSFR,MREL Ratio
0,high Total Capital Ratio / high Tier 1 Ratio,20,51.734,50.6115,49.5535,30.708,714.1065,276.399,26.62
1,low Total Capital Ratio / low Tier 1 Ratio,113,18.0928,19.3679,21.1476,10.0737,350.3119,163.8925,26.6779
