k,inertia,silhouette,cluster_sizes
2,441.340366,0.691215,95;18
3,354.922174,0.491291,18;83;12
4,285.001774,0.440084,78;9;17;9
5,247.16852,0.301175,54;35;9;9;6
6,224.025762,0.33005,3;3;5;61;10;31
7,199.20506,0.268992,27;9;6;41;7;3;20
8,189.829186,0.239745,28;3;44;9;5;10;8;6
