bank,frn,cluster_id,cluster_label,insufficient_data,CET1 Ratio_value,Tier 1 Ratio_value,Total Capital Ratio_value,Leverage Ratio_value,LCR_value,NSFR_value,CET1 Ratio_year,Tier 1 Ratio_year,Total Capital Ratio_year,Leverage Ratio_year,LCR_year,NSFR_year,CET1 Ratio_imputed,Tier 1 Ratio_imputed,Total Capital Ratio_imputed,Leverage Ratio_imputed,LCR_imputed,NSFR_imputed
CAF BANK,204451,,insufficient data,1,,,,,,,,,,,,,0,0,0,0,0,0
CATER ALLEN,178737,,insufficient data,1,78.2,78.2,78.2,,,,FY2025,FY2025,FY2025,,,,0,0,0,0,0,0
CHARTER COURT FINANCIAL SERVICES,494549,,insufficient data,1,16.2,,19.2,6.9,,,FY2025,,FY2023,FY2023,,,0,0,0,0,0,0
CLOSE BROTHERS,124750,,insufficient data,1,,,,,,,,,,,,,0,0,0,0,0,0
CREDIT SUISSE INTERNATIONAL,146702,,insufficient data,1,146.9,146.9,,,,,FY2025,FY2025,,,,,0,0,0,0,0,0
CYNERGY BANK,575105,,insufficient data,1,,,,,,,,,,,,,0,0,0,0,0,0
DB UK BANK,140848,,insufficient data,1,,,536.0,,381.0,202.0,,,FY2025,,FY2025,FY2025,0,0,0,0,0,0
EFG PRIVATE BANK,144036,,insufficient data,1,10.9,10.9,15.2,,,,FY2022,FY2022,FY2022,,,,0,0,0,0,0,0
FIDBANK UK,400712,,insufficient data,1,,,21.46,,178.0,,,,FY2025,,FY2025,,0,0,0,0,0,0
GUARANTY TRUST BANK UK,466611,,insufficient data,1,,,,,,,,,,,,,0,0,0,0,0,0
HABIB BANK ZURICH,627671,,insufficient data,1,,,,,232.0,,,,,,FY2025,,0,0,0,0,0,0
HAVIN BANK,204481,,insufficient data,1,,,,,,,,,,,,,0,0,0,0,0,0
ITAU BBA INTERNATIONAL,575225,,insufficient data,1,29.0,,29.0,19.1,,,FY2025,,FY2025,FY2025,,,0,0,0,0,0,0
KEXIM BANK UK,204490,,insufficient data,1,20.5,,20.5,,,,FY2025,,FY2025,,,,0,0,0,0,0,0
KINGDOM BANK,400972,,insufficient data,1,,,,,,,,,,,,,0,0,0,0,0,0
MARKS AND SPENCER FINANCIAL SERVICES,151427,,insufficient data,1,13.86,15.72,18.42,,,,FY2025,FY2025,FY2025,,,,0,0,0,0,0,0
NOMURA BANK INTERNATIONAL,204419,,insufficient data,1,,,,,,,,,,,,,0,0,0,0,0,0
PERENNA,956138,,insufficient data,1,48.0,,,21.47,,,FY2025,,,FY2025,,,0,0,0,0,0,0
PERSIA INTERNATIONAL BANK,208020,,insufficient data,1,,,,53.32,221.13,,,,,FY2021,FY2021,,0,0,0,0,0,0
PHILIPPINE NATIONAL BANK EUROPE,204532,,insufficient data,1,127.55,127.55,127.55,,,,FY2025,FY2025,FY2025,,,,0,0,0,0,0,0
RATHBONES INVESTMENT MANAGEMENT,116316,,insufficient data,1,,,,,,,,,,,,,0,0,0,0,0,0
REDWOOD BANK,755924,,insufficient data,1,16.6,,19.8,,362.0,,FY2025,,FY2025,,FY2025,,0,0,0,0,0,0
RELIANCE BANK,204537,,insufficient data,1,21.8,,,13.3,228.0,,FY2026,,,FY2026,FY2026,,0,0,0,0,0,0
SANTANDER FINANCIAL SERVICES,146003,,insufficient data,1,,,,,227.0,148.0,,,,,FY2025,FY2025,0,0,0,0,0,0
SCHRODER,144206,,insufficient data,1,,,,,,,,,,,,,0,0,0,0,0,0
STANDARD CHARTERED BANK,114276,,insufficient data,1,,,,,,,,,,,,,0,0,0,0,0,0
THE BANK OF LONDON GROUP,930379,,insufficient data,1,82.94,,,,,,FY2025,,,,,,0,0,0,0,0,0
